,Pt1-OnTx,Pt1-baseline,Pt2-OnTx,Pt2-baseline,Pt3-OnTx,Pt3-baseline,Pt4-OnTx,Pt4-baseline,Pt5-OnTx,Pt5-baseline
CBX8,5.807865,6.663265,11.1319,18.1595,11.2952,9.05044,16.11,12.9811,7.954445,10.15075
CBY1,22.15995,25.2647,18.3721,15.91275,32.30535,30.88345,26.4224,18.5216,16.30005,10.38365
CBY3,0.2166705,0,1.580555,1.336675,0.1733668,0.2542035,0.522158,0.5663385,0.0693132,0.210342
CC2D1A,11.26725,8.247465,12.8802,10.8761,31.20925,14.77125,27.64815,21.56815,12.0003,13.77225
CC2D1B,8.94606,9.01394,12.4745,9.81964,6.167635,5.588655,12.23905,10.5958,8.754905,9.692525
CC2D2A,9.77705,10.42205,6.10396,5.96219,7.76286,6.63373,9.99522,7.34834,4.54274,4.27277
CC2D2B,0.06488995,0.0860275,0.2783645,0.2762335,0.0073023,0.01928615,0.04804225,0.1740205,0.0862873,0.10884895
CCAR1,19.10605,15.3363,14.5386,11.06565,14.5136,20.3192,23.45695,17.36745,8.93816,11.1919
CCAR2,29.6345,31.2655,24.27445,20.40895,14.5445,14.62545,46.19935,43.24205,29.40485,27.3714
CCAT1,0,0,0,0,0,0,0,0,0.006448,0
CCAT2,0,0,0,0,0,0,0.01419175,0.0199331,0,0
CCBE1,0.05712305,0.0150322,0.106283,0.05425805,0.105731,0.7331305,0.190189,0.625416,0.52096,0.153111
CCBL1,1.340425,1.41731,3.025035,2.891915,5.138985,3.69384,0.9084535,1.393335,3.19902,3.41062
CCBL2,9.85551,15.3859,10.9436,8.47828,8.797945,11.3256,10.3923,10.6979,9.763675,7.785335
CCDC101,8.25265,10.10435,9.630255,7.214645,7.61379,5.86867,7.34083,8.64941,9.26064,7.32578
CCDC102A,2.58879,4.90256,2.519725,1.562265,7.19091,6.501095,1.222605,2.435025,6.722375,3.55505
CCDC102B,0.912965,0.5429365,3.124225,1.242695,0.6050245,3.65557,2.11576,4.026595,5.725815,5.883865
CCDC103,3.42469,3.719265,1.67733,1.67334,4.0413,3.07922,1.760425,1.03972,0.673551,0.56621
CCDC104,18.75645,21.18395,20.7696,30.94525,22.89705,23.4766,22.12335,18.3869,15.5917,26.7318
CCDC105,0,0,0,0,0,0,0,0,0,0
CCDC106,17.92845,11.91495,11.40735,10.9749,7.85612,5.403775,11.1214,11.02975,12.6133,10.02284
CCDC107,6.044815,6.91358,17.0961,13.94305,4.953385,5.8603,11.2688,7.360755,13.6284,12.42
CCDC108,0.012248415,0.06307495,0.200074,0.2273005,0.2889155,0.1856985,0.02451995,0.0139746,0.002836012,0.040796
